date_update,provinsi,kabupaten_kota,kecamatan        ,kelurahan,alamat  ,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link,,,
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Banjarkulon,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Banjarmangu,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Beji       ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Gripit     ,      ,0        ,0        ,1            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Jenggawur  ,      ,0        ,1        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Kalilunjar ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Kendaga    ,      ,2        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Kesenet    ,      ,0        ,2        ,2            ,2             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Paseh      ,      ,2        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Pekandangan,      ,0        ,0        ,2            ,2             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Prendengan ,      ,0        ,1        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Rejasari   ,      ,0        ,1        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Sigeblog   ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Sijenggung ,      ,1        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Sijeruk    ,      ,0        ,1        ,1            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Sipedang   ,      ,1        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      

2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Ampelsari         ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Argasoka          ,      ,1        ,0        ,0            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Cendana	        ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Karangtengah      ,      ,0        ,1        ,0            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Krandegan	        ,      ,5        ,1        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Kutabanjarnegara  ,      ,0        ,1        ,0            ,4             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Parakancanggah    ,      ,2        ,1        ,0            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Semampir          ,      ,1        ,0        ,0            ,3             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Semarang          ,      ,2        ,0        ,0            ,2             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Sokanandi     	,      ,4        ,0        ,0            ,7             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Sokayasa       	,      ,0        ,1        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Tlagawera     	,      ,0        ,1        ,0            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarnegara     ,Wangon        	,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      


2020/09/04,Jawa Tengah,Banjarnegara,Batur            ,Bakal   	        ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Batur            ,Batur   	        ,      ,0        ,1        ,6            ,6             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Batur            ,Dieng Kulon	    ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Batur            ,Kepakisan	        ,      ,0        ,0        ,2            ,2             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Batur            ,Pasurenan	        ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Batur            ,Pekasiran	        ,      ,9        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Batur            ,Sumberejo	        ,      ,0        ,0        ,1            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,


2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Bandingan	        ,      ,0       ,0         ,4            ,4             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Bawang  	        ,      ,0       ,0         ,1            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Binorong	        ,      ,1       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Blambangan        ,      ,4       ,0         ,4            ,4             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Depok   	        ,      ,0       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Gemuruh 	        ,      ,0       ,1         ,1            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Joho    	        ,      ,1       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Kebondalem        ,      ,3       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Kutayasa	        ,      ,0       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Majalengka        ,      ,0       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Mantrianom        ,      ,0       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Masaran 	        ,      ,3       ,0         ,1            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Pucang  	        ,      ,0       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Serang  	        ,      ,1       ,0         ,1            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Wanadri 	        ,      ,0       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Watuurip	        ,      ,0       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Winong  	        ,      ,0       ,0         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Bawang           ,Wiramastra        ,      ,0       ,1         ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,


2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Asinan            ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Bedana            ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Gunung Langit     ,      ,0        ,0        ,1            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Kalibening        ,      ,9        ,0        ,1            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Kalibombong       ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Kalisat kidul     ,      ,5        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Karanganyar       ,      ,1        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Kasinoman         ,      ,1        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Kertasari         ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Majatengah        ,      ,2        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Plorengan         ,      ,1        ,1        ,1            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Sembawa           ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Sidakangen        ,      ,0        ,1        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Sidakumpul        ,      ,6        ,1        ,1            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Sirukem           ,      ,0        ,1        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Kalibening       ,Sirukun           ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      


2020/09/04,Jawa Tengah,Banjarnegara,Karangkobar    ,Ambal             ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Karangkobar    ,Binangun          ,      ,2        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Karangkobar    ,Gumelar           ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Karangkobar    ,Jlegong           ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Karangkobar    ,Karanggondang     ,      ,3        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Karangkobar    ,Karangkobar       ,      ,5        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Karangkobar    ,Leksana           ,      ,0        ,0        ,4            ,4             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Karangkobar    ,Pagerpelah        ,      ,2        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
2020/09/04,Jawa Tengah,Banjarnegara,Karangkobar    ,Paweden           ,      ,3        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,
